,Zone Name,VRF Terminal Name,Cooling Coil Name,Heating Coil Name
0,THERMAL ZONE: AMEN_0300,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Amen_0300,Zone HVAC Terminal Unit Variable Refrigerant Flow 34 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 34 Heating Coil
1,THERMAL ZONE: AMEN_0400,VRF Heat Pump - vrf_zones_04-2 - Thermal Zone: Amen_0400,Zone HVAC Terminal Unit Variable Refrigerant Flow 52 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 52 Heating Coil
2,THERMAL ZONE: AMEN_0500,VRF Heat Pump - vrf_zones_05-2 - Thermal Zone: Amen_0500,Zone HVAC Terminal Unit Variable Refrigerant Flow 71 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 71 Heating Coil
3,THERMAL ZONE: AMEN_2100,VRF Heat Pump - vrf_zones_21-2 - Thermal Zone: Amen_2100,Zone HVAC Terminal Unit Variable Refrigerant Flow 89 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 89 Heating Coil
4,THERMAL ZONE: AMEN_2204,VRF Heat Pump - vrf_zones_OHP-SKY - Thermal Zone: Amen_2204,Zone HVAC Terminal Unit Variable Refrigerant Flow 102 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 102 Heating Coil
5,THERMAL ZONE: AMEN_2205,VRF Heat Pump - vrf_zones_OHP-SKY - Thermal Zone: Amen_2205,Zone HVAC Terminal Unit Variable Refrigerant Flow 100 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 100 Heating Coil
6,THERMAL ZONE: AMEN_FITNESS_2202,VRF Heat Pump - vrf_zones_OHP-SKY - Thermal Zone: Amen_Fitness_2202,Zone HVAC Terminal Unit Variable Refrigerant Flow 99 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 99 Heating Coil
7,THERMAL ZONE: AMEN_SKYLOUNGE_2201,VRF Heat Pump - vrf_zones_OHP-SKY - Thermal Zone: Amen_SkyLounge_2201,Zone HVAC Terminal Unit Variable Refrigerant Flow 101 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 101 Heating Coil
8,THERMAL ZONE: AMEN_SUNROOM_2203,VRF Heat Pump - vrf_zones_OHP-SKY - Thermal Zone: Amen_Sunroom_2203,Zone HVAC Terminal Unit Variable Refrigerant Flow 103 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 103 Heating Coil
9,THERMAL ZONE: LAUNDRY_0109,VRF Heat Pump - vrf_zones_OHP-GTHR - Thermal Zone: Laundry_0109,Zone HVAC Terminal Unit Variable Refrigerant Flow 95 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 95 Heating Coil
10,THERMAL ZONE: LOBBY_0101,VRF Heat Pump - vrf_zones_OHP-LOB - Thermal Zone: Lobby_0101,Zone HVAC Terminal Unit Variable Refrigerant Flow 96 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 96 Heating Coil
11,THERMAL ZONE: OFFICE_0101,VRF Heat Pump - vrf_zones_OHP-LOB - Thermal Zone: Lobby_0101,Zone HVAC Terminal Unit Variable Refrigerant Flow 96 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 96 Heating Coil
12,THERMAL ZONE: RETAIL_0100,VRF Heat Pump - vrf_zones_OHP-GTHR - Thermal Zone: Retail_0100,Zone HVAC Terminal Unit Variable Refrigerant Flow 94 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 94 Heating Coil
13,THERMAL ZONE: UNIT_0201_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
14,THERMAL ZONE: UNIT_0202,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0202,Zone HVAC Terminal Unit Variable Refrigerant Flow 1 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 1 Heating Coil
15,THERMAL ZONE: UNIT_0203,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0203,Zone HVAC Terminal Unit Variable Refrigerant Flow 2 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 2 Heating Coil
16,THERMAL ZONE: UNIT_0204,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0204,Zone HVAC Terminal Unit Variable Refrigerant Flow 3 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 3 Heating Coil
17,THERMAL ZONE: UNIT_0205,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0205,Zone HVAC Terminal Unit Variable Refrigerant Flow 4 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 4 Heating Coil
18,THERMAL ZONE: UNIT_0206,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0206,Zone HVAC Terminal Unit Variable Refrigerant Flow 5 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 5 Heating Coil
19,THERMAL ZONE: UNIT_0207,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0207,Zone HVAC Terminal Unit Variable Refrigerant Flow 6 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 6 Heating Coil
20,THERMAL ZONE: UNIT_0208,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0208,Zone HVAC Terminal Unit Variable Refrigerant Flow 7 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 7 Heating Coil
21,THERMAL ZONE: UNIT_0209_3B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0209_3B,Zone HVAC Terminal Unit Variable Refrigerant Flow 17 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 17 Heating Coil
22,THERMAL ZONE: UNIT_0210,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0210,Zone HVAC Terminal Unit Variable Refrigerant Flow 8 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 8 Heating Coil
23,THERMAL ZONE: UNIT_0211_2B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0211_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 18 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 18 Heating Coil
24,THERMAL ZONE: UNIT_0212,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0212,Zone HVAC Terminal Unit Variable Refrigerant Flow 9 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 9 Heating Coil
25,THERMAL ZONE: UNIT_0213,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0213,Zone HVAC Terminal Unit Variable Refrigerant Flow 10 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 10 Heating Coil
26,THERMAL ZONE: UNIT_0214,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0214,Zone HVAC Terminal Unit Variable Refrigerant Flow 11 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 11 Heating Coil
27,THERMAL ZONE: UNIT_0215,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0215,Zone HVAC Terminal Unit Variable Refrigerant Flow 12 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 12 Heating Coil
28,THERMAL ZONE: UNIT_0216,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0216,Zone HVAC Terminal Unit Variable Refrigerant Flow 13 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 13 Heating Coil
29,THERMAL ZONE: UNIT_0217,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0217,Zone HVAC Terminal Unit Variable Refrigerant Flow 14 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 14 Heating Coil
30,THERMAL ZONE: UNIT_0218,VRF Heat Pump - vrf_zones_02-1 - Thermal Zone: Unit_0218,Zone HVAC Terminal Unit Variable Refrigerant Flow 15 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 15 Heating Coil
