zone,airflow,cc,hc
THERMAL ZONE: AMEN_0300,0.37093,6142.253333,6147.656667
THERMAL ZONE: AMEN_0400,0.374325,6198.47,6203.923333
THERMAL ZONE: AMEN_0500,0.377329,6248.201667,6253.698333
THERMAL ZONE: AMEN_2100,0.426515,7062.69,7068.9
THERMAL ZONE: AMEN_2204,0.771917,15377.9,15391.43
THERMAL ZONE: AMEN_2205,0.301603,4994.25,4998.65
THERMAL ZONE: AMEN_FITNESS_2202,1.081637,18594.16,18610.52
THERMAL ZONE: AMEN_SKYLOUNGE_2201,1.522557,25212.09,25234.27
THERMAL ZONE: AMEN_SUNROOM_2203,0.322012,6415.02,6420.67
THERMAL ZONE: LAUNDRY_0109,0.858223,17964.46,17980.27
THERMAL ZONE: LOBBY_0101,0.085119,1829.25,1830.86
THERMAL ZONE: OFFICE_0101,0.168521,2790.55,2793.01
THERMAL ZONE: RETAIL_0100,2.889552,57564.82,57615.47
THERMAL ZONE: UNIT_0201_4B,0.293075,6981.49,4857.31
THERMAL ZONE: UNIT_0202,0.088482,2107.79,1466.47
THERMAL ZONE: UNIT_0203,0.093168,2219.41,1544.13
THERMAL ZONE: UNIT_0204,0.088667,2112.19,1469.54
THERMAL ZONE: UNIT_0205,0.08923,2125.6,1478.87
THERMAL ZONE: UNIT_0206,0.090926,2166,1506.97
THERMAL ZONE: UNIT_0207,0.092913,2213.33,1539.9
THERMAL ZONE: UNIT_0208,0.088646,2111.69,1469.19
THERMAL ZONE: UNIT_0209_3B,0.222922,5310.34,3694.62
THERMAL ZONE: UNIT_0210,0.089426,2130.27,1482.11
THERMAL ZONE: UNIT_0211_2B,0.205611,4897.97,3407.72
THERMAL ZONE: UNIT_0212,0.088939,2118.67,1474.04
THERMAL ZONE: UNIT_0213,0.093416,2225.32,1548.25
THERMAL ZONE: UNIT_0214,0.090838,2163.9,1505.51
THERMAL ZONE: UNIT_0215,0.086907,2070.27,1440.37
THERMAL ZONE: UNIT_0216,0.086509,2060.78,1433.77
THERMAL ZONE: UNIT_0217,0.084894,2022.3,1406.99
THERMAL ZONE: UNIT_0218,0.084401,2010.57,1398.84
THERMAL ZONE: UNIT_0219_4B,0.270639,6447.04,4485.46
THERMAL ZONE: UNIT_0301_4B,0.276982,6598.146667,4590.596667
THERMAL ZONE: UNIT_0302,0.086373,2057.528333,1431.505
THERMAL ZONE: UNIT_0303,0.094103,2241.686667,1559.631667
THERMAL ZONE: UNIT_0304,0.093955,2238.158333,1557.176667
THERMAL ZONE: UNIT_0305,0.085494,2036.588333,1416.936667
THERMAL ZONE: UNIT_0306,0.082519,1965.736667,1367.643333
THERMAL ZONE: UNIT_0307_3B,0.199983,4763.901667,3314.438333
THERMAL ZONE: UNIT_0308,0.094155,2242.916667,1560.488333
THERMAL ZONE: UNIT_0309_2B,0.179438,4274.483333,2973.931667
THERMAL ZONE: UNIT_0310,0.083479,1988.595,1383.545
THERMAL ZONE: UNIT_0311,0.086943,2071.123333,1440.965
THERMAL ZONE: UNIT_0312,0.087191,2077.03,1445.073333
THERMAL ZONE: UNIT_0313,0.086312,2056.078333,1430.496667
THERMAL ZONE: UNIT_0314,0.086408,2058.36,1432.085
THERMAL ZONE: UNIT_0315,0.087192,2077.043333,1445.083333
THERMAL ZONE: UNIT_0316,0.086873,2069.45,1439.8
THERMAL ZONE: UNIT_0317_4B,0.276635,6589.875,4584.841667
THERMAL ZONE: UNIT_0401_4B,0.287182,6841.131667,4759.651667
THERMAL ZONE: UNIT_0402,0.089549,2133.198333,1484.151667
THERMAL ZONE: UNIT_0403,0.09755,2323.796667,1616.758333
THERMAL ZONE: UNIT_0404,0.09735,2319.031667,1613.443333
THERMAL ZONE: UNIT_0405,0.088228,2101.735,1462.261667
THERMAL ZONE: UNIT_0406,0.084741,2018.671667,1404.471667
THERMAL ZONE: UNIT_0407_3B,0.209854,4999.038333,3478.031667
THERMAL ZONE: UNIT_0408,0.097349,2319.013333,1613.431667
THERMAL ZONE: UNIT_0409_2B,0.186955,4453.56,3098.521667
THERMAL ZONE: UNIT_0410,0.085609,2039.338333,1418.85
THERMAL ZONE: UNIT_0411,0.089778,2138.656667,1487.95
THERMAL ZONE: UNIT_0412,0.090078,2145.791667,1492.913333
THERMAL ZONE: UNIT_0413,0.089052,2121.348333,1475.908333
THERMAL ZONE: UNIT_0414,0.089152,2123.738333,1477.57
THERMAL ZONE: UNIT_0415,0.090101,2146.353333,1493.305
THERMAL ZONE: UNIT_0416,0.089837,2140.061667,1488.926667
THERMAL ZONE: UNIT_0417_4B,0.286406,6822.63,4746.778333
THERMAL ZONE: UNIT_0501_4B,0.289327,6892.206667,4795.186667
THERMAL ZONE: UNIT_0502,0.090208,2148.905,1495.08
THERMAL ZONE: UNIT_0503,0.097783,2329.351667,1620.625
THERMAL ZONE: UNIT_0504,0.097566,2324.173333,1617.021667
THERMAL ZONE: UNIT_0505,0.088805,2115.47,1471.818333
THERMAL ZONE: UNIT_0506,0.085152,2028.455,1411.278333
THERMAL ZONE: UNIT_0507_3B,0.203133,4838.951667,3366.655
THERMAL ZONE: UNIT_0508,0.088592,2110.401667,1468.291667
THERMAL ZONE: UNIT_0509_2B,0.187625,4469.508333,3109.618333
THERMAL ZONE: UNIT_0510,0.086208,2053.598333,1428.771667
THERMAL ZONE: UNIT_0511,0.090411,2153.723333,1498.433333
THERMAL ZONE: UNIT_0512,0.090713,2160.923333,1503.441667
THERMAL ZONE: UNIT_0513,0.089685,2136.433333,1486.403333
THERMAL ZONE: UNIT_0514,0.089785,2138.821667,1488.065
THERMAL ZONE: UNIT_0515,0.090743,2161.636667,1503.938333
THERMAL ZONE: UNIT_0516,0.090528,2156.511667,1500.373333
THERMAL ZONE: UNIT_0517_4B,0.288539,6873.453333,4782.14
THERMAL ZONE: UNIT_2101_4B,0.333934,7954.84,5534.5
THERMAL ZONE: UNIT_2102,0.1008,2401.22,1670.63
THERMAL ZONE: UNIT_2103,0.110386,2629.56,1829.49
THERMAL ZONE: UNIT_2104,0.110362,2629,1829.1
THERMAL ZONE: UNIT_2105,0.101523,2418.44,1682.61
THERMAL ZONE: UNIT_2106,0.10028,2388.83,1662.01
THERMAL ZONE: UNIT_2107_3B,0.244993,5836.12,4060.42
THERMAL ZONE: UNIT_2108,0.122074,2907.99,2023.21
THERMAL ZONE: UNIT_2109_2B,0.21566,5137.37,3574.27
THERMAL ZONE: UNIT_2110,0.101789,2424.78,1687.02
THERMAL ZONE: UNIT_2111,0.1047,2494.12,1735.26
THERMAL ZONE: UNIT_2112,0.104197,2482.14,1726.92
THERMAL ZONE: UNIT_2113,0.1044,2486.96,1730.28
THERMAL ZONE: UNIT_2114,0.10458,2491.26,1733.27
THERMAL ZONE: UNIT_2115,0.10458,2491.26,1733.27
THERMAL ZONE: UNIT_2116,0.104874,2498.26,1738.14
THERMAL ZONE: UNIT_2117_4B,0.337444,8038.44,5592.66
THERMAL ZONE: XFMR_0201,0.136021,2923.15,2925.72
THERMAL ZONE: XFMR_0401,0.136063,2924.031667,2926.605
