,0,Min Airflow [cfm],Reheat Required [Btu]
0,VAV_1_TU1_CoilHtg,12069.985067723519,586601.2742913631
1,VAV_1_TU3_CoilHtg,1836.7368581318399,89265.41130520742
2,VAV_1_TU6_CoilHtg,1836.7368581318399,89265.41130520742
3,VAV_2_TU5_CoilHtg,1619.327189210112,78699.30139561144
4,VAV_2_TU3_CoilHtg,1829.239972996608,88901.06268763516
5,VAV_2_TU4_CoilHtg,1829.239972996608,88901.06268763516
6,VAV_2_TU1_CoilHtg,1829.239972996608,88901.06268763516
7,VAV_2_TU2_CoilHtg,1829.239972996608,88901.06268763516
8,VAV_2_TU11_CoilHtg,10495.6391893248,510088.0646011853
9,VAV_ER_TU1_CoilHtg,359.85048649113605,17488.73364346921
10,VAV_ER_TU2_CoilHtg,359.85048649113605,17488.73364346921
11,VAV_1_TU4_CoilHtg,5982.514337915136,290750.19682267564
12,VAV_ER_TU3_CoilHtg,89.96262162278401,4372.183410867303
13,VAV_ER_TU4_CoilHtg,89.96262162278401,4372.183410867303
14,VAV_ER_TU5_CoilHtg,359.85048649113605,17488.73364346921
15,VAV_ICU_TU1_CoilHtg,1994.6812341609077,96941.50798022012
16,VAV_1_TU5_CoilHtg,3238.0046483751707,157367.02591103333
17,VAV_ICU_TU2_CoilHtg,337.35983108543996,16395.687790752385
18,VAV_ICU_TU3_CoilHtg,89.96262162278401,4372.183410867303
19,VAV_ICU_TU4_CoilHtg,404.831797302528,19674.82534890286
20,CAV_Kitchen_TU1_CoilHtg,2998.7540540928,145739.44702891007
21,VAV_Laboratory_TU1_CoilHtg,1139.526540555264,55380.989870985846
22,VAV_Laboratory_TU2_CoilHtg,1139.526540555264,55380.989870985846
23,VAV_1_TU2_CoilHtg,7140.663141146325,347036.2286597114
24,VAV_2_TU6_CoilHtg,4385.67780411072,213143.941279781
25,VAV_2_TU7_CoilHtg,4385.67780411072,213143.941279781
26,VAV_2_TU8_CoilHtg,5037.906810875904,244842.27100856893
27,VAV_2_TU12_CoilHtg,224.96552955335758,10933.32473629318
